date,crude_oil_wti,natural_gas_henry_hub,ppi_chemicals,ppi_plastics,industrial_production_idx,capacity_utilisation,us_gdp,unemployment_rate
2000-01-02,,,153.6,123.5,91.538,82.179,10002.179,4.0
2000-01-09,24.9475,2.175,,,,,,
2000-01-16,26.268,2.25,,,,,,
2000-01-23,29.3675,2.4575,,,,,,
2000-01-30,28.336,2.7079999999999997,,,,,,
2000-02-06,28.076,2.808,154.5,123.5,91.8239,82.1719,,4.1
2000-02-13,28.832,2.666,,,,,,
2000-02-20,29.872000000000003,2.636,,,,,,
2000-02-27,30.0975,2.52,,,,,,
2000-03-05,31.072000000000003,2.696,155.2,123.5,92.1504,82.2023,,4.0
2000-03-12,32.136,2.7424999999999997,,,,,,
2000-03-19,31.294,2.806,,,,,,
2000-03-26,27.99,2.766,,,,,,
2000-04-02,26.916000000000004,2.878,155.5,123.7,92.6989,82.4316,10247.72,3.8
2000-04-09,25.596,2.9240000000000004,,,,,,
2000-04-16,24.868,3.032,,,,,,
2000-04-23,26.6625,3.11,,,,,,
2000-04-30,25.95,3.114,,,,,,
2000-05-07,26.75,3.148,156.4,123.6,92.9499,82.3967,,4.0
2000-05-14,28.7,3.258,,,,,,
2000-05-21,29.877999999999997,3.56,,,,,,
2000-05-28,29.462,4.042,,,,,,
2000-06-04,29.98,4.3675,156.5,124.4,92.9862,82.1729,,4.0
2000-06-11,29.788,4.196,,,,,,
2000-06-18,32.452,4.296,,,,,,
2000-06-25,33.552,4.279999999999999,,,,,,
2000-07-02,32.12,4.394,157.4,125.0,92.8048,81.7603,10318.165,4.0
2000-07-09,30.403333333333336,4.155,,,,,,
2000-07-16,30.436,4.18,,,,,,
2000-07-23,30.65,3.986,,,,,,
2000-07-30,28.02,3.72,,,,,,
2000-08-06,28.496,4.0120000000000005,157.5,124.7,92.5521,81.2857,,4.1
2000-08-13,30.136000000000003,4.4399999999999995,,,,,,
2000-08-20,31.822000000000003,4.326,,,,,,
2000-08-27,32.462,4.63,,,,,,
2000-09-03,33.082,4.6579999999999995,158.3,125.4,92.9792,81.4061,,3.9
2000-09-10,34.4225,4.8225,,,,,,
2000-09-17,34.7,5.05,,,,,,
2000-09-24,35.486000000000004,5.168,,,,,,
2000-10-01,31.128000000000004,5.208,158.6,125.3,92.6179,80.8334,10435.744,3.9
2000-10-08,31.268,5.2,,,,,,
2000-10-15,33.898,5.264,,,,,,
2000-10-22,33.484,5.17,,,,,,
2000-10-29,33.916,4.678,,,,,,
2000-11-05,32.782,4.494,158.3,126.5,92.6438,80.5963,,3.9
2000-11-12,33.46,4.956,,,,,,
2000-11-19,35.004,5.782,,,,,,
2000-11-26,35.91,6.293333333333333,,,,,,
2000-12-03,34.102,6.182,158.7,126.5,92.3415,80.0735,,3.9
2000-12-10,29.688,8.16,,,,,,
2000-12-17,29.046,8.370000000000001,,,,,,
2000-12-24,27.382,9.862,,,,,,
2000-12-31,26.5225,9.8775,,,,,,
2001-01-07,27.7975,9.79,160.3,126.1,91.902,79.4332,10470.231,4.2
2001-01-14,28.814,9.574,,,,,,
2001-01-21,30.625,7.6775,,,,,,
2001-01-28,31.345999999999997,7.068,,,,,,
2001-02-04,29.592,6.226,161.5,125.8,91.3034,78.6604,,4.2
2001-02-11,30.918,5.978,,,,,,
2001-02-18,29.674,5.6259999999999994,,,,,,
2001-02-25,28.6475,5.1325,,,,,,
2001-03-04,27.910000000000004,5.14,161.6,126.1,91.1162,78.2472,,4.3
2001-03-11,28.448,5.2379999999999995,,,,,,
2001-03-18,27.018,5.118,,,,,,
2001-03-25,26.418,5.204,,,,,,
2001-04-01,26.857999999999997,5.392,161.4,126.3,90.7891,77.7206,10599.0,4.4
2001-04-08,26.764,5.268,,,,,,
2001-04-15,28.2725,5.4425,,,,,,
2001-04-22,27.889999999999997,5.21,,,,,,
2001-04-29,26.992,4.99,,,,,,
2001-05-06,28.362,4.556,160.1,126.5,90.3555,77.1128,,4.3
2001-05-13,28.124,4.224,,,,,,
2001-05-20,29.083999999999996,4.3100000000000005,,,,,,
2001-05-27,28.922000000000004,4.048,,,,,,
2001-06-03,28.435,3.7375,159.7,126.4,89.8784,76.4807,,4.5
2001-06-10,27.976,3.794,,,,,,
2001-06-17,28.904000000000003,3.974,,,,,,
2001-06-24,27.086,3.814,,,,,,
2001-07-01,26.374,3.304,157.8,126.2,89.3028,75.7806,10598.02,4.6
2001-07-08,26.8675,3.0,,,,,,
2001-07-15,27.068,3.19,,,,,,
2001-07-22,25.264,3.07,,,,,,
2001-07-29,26.498,3.08,,,,,,
2001-08-05,27.1,3.214,156.3,125.7,89.2003,75.4938,,4.9
2001-08-12,27.866000000000003,3.086,,,,,,
2001-08-19,27.516,3.18,,,,,,
2001-08-26,27.254,3.0380000000000003,,,,,,
2001-09-02,26.844,2.452,156.6,125.6,88.7485,74.9237,,5.0
2001-09-09,27.375,2.34,,,,,,
2001-09-16,28.224,2.4,,,,,,
2001-09-23,27.088,2.154,,,,,,
2001-09-30,22.346,1.902,,,,,,
2001-10-07,22.602,1.956,155.7,125.5,88.5052,74.5431,10660.465,5.3
2001-10-14,22.658,2.2079999999999997,,,,,,
2001-10-21,21.918,2.416,,,,,,
2001-10-28,21.776,2.8619999999999997,,,,,,
2001-11-04,21.168,3.0620000000000003,155.4,125.6,87.97,73.9318,,5.5
2001-11-11,20.696,2.722,,,,,,
2001-11-18,19.607999999999997,2.16,,,,,,
2001-11-25,18.276666666666667,2.18,,,,,,
2001-12-02,19.128,1.996,154.3,125.2,87.9324,73.7552,,5.7
2001-12-09,19.474,1.982,,,,,,
2001-12-16,18.45,2.446,,,,,,
2001-12-23,19.2,2.4,,,,,,
2001-12-30,20.936666666666667,2.4,,,,,,
2002-01-06,20.8025,2.5275,154.0,125.1,88.5176,74.1161,10783.5,5.7
2002-01-13,20.542,2.384,,,,,,
2002-01-20,18.61,2.34,,,,,,
2002-01-27,19.2075,2.1799999999999997,,,,,,
2002-02-03,19.714,2.1799999999999997,154.3,124.4,88.5278,74.0132,,5.7
2002-02-10,19.97,2.216,,,,,,
2002-02-17,21.18,2.284,,,,,,
2002-02-24,20.7025,2.3825,,,,,,
2002-03-03,21.432,2.47,155.1,124.6,89.1686,74.4558,,5.7
2002-03-10,23.308,2.6719999999999997,,,,,,
2002-03-17,24.4,2.916,,,,,,
2002-03-24,25.254,3.308,,,,,,
2002-03-31,25.86,3.395,,,,,,
2002-04-07,26.994,3.54,155.9,124.8,89.604,74.7452,10887.46,5.9
2002-04-14,25.24,3.214,,,,,,
2002-04-21,25.536,3.4019999999999997,,,,,,
2002-04-28,26.464,3.504,,,,,,
2002-05-05,26.882,3.648,156.3,125.3,89.964,74.9894,,5.8
2002-05-12,27.272,3.654,,,,,,
2002-05-19,28.43,3.5660000000000003,,,,,,
2002-05-26,27.178000000000004,3.35,,,,,,
2002-06-02,25.2175,3.24,157.0,125.8,90.7061,75.569,,5.8
2002-06-09,25.01,3.236,,,,,,
2002-06-16,24.936,3.114,,,,,,
2002-06-23,25.607999999999997,3.264,,,,,,
2002-06-30,26.52,3.432,,,,,,
2002-07-07,26.813333333333333,3.1766666666666663,158.5,125.5,90.6769,75.5228,10984.04,5.8
2002-07-14,26.704,2.958,,,,,,
2002-07-21,27.624,2.898,,,,,,
2002-07-28,26.644,2.972,,,,,,
2002-08-04,26.874,3.006,158.6,125.9,90.5762,75.4317,,5.7
2002-08-11,26.77,2.784,,,,,,
2002-08-18,28.522,2.994,,,,,,
2002-08-25,30.089999999999996,3.282,,,,,,
2002-09-01,28.836,3.332,158.7,126.3,90.6531,75.4995,,5.7
2002-09-08,28.6525,3.205,,,,,,
2002-09-15,29.594,3.3020000000000005,,,,,,
2002-09-22,29.386000000000003,3.712,,,,,,
2002-09-29,30.634000000000004,3.8,,,,,,
2002-10-06,30.254,4.172,159.6,126.3,90.4643,75.3553,11061.433,5.7
2002-10-13,29.368,3.854,,,,,,
2002-10-20,29.648000000000003,4.138,,,,,,
2002-10-27,27.877999999999997,4.218,,,,,,
2002-11-03,27.026,4.232,159.7,125.8,90.9711,75.8001,,5.9
2002-11-10,25.972,3.883999999999999,,,,,,
2002-11-17,25.677999999999997,3.862,,,,,,
2002-11-24,26.984,4.252,,,,,,
2002-12-01,26.826666666666668,4.253333333333334,159.3,125.8,90.4652,75.4073,,6.0
2002-12-08,27.142000000000003,4.311999999999999,,,,,,
2002-12-15,27.82,4.642,,,,,,
2002-12-22,30.348000000000003,5.122,,,,,,
2002-12-29,32.3775,4.9625,,,,,,
2003-01-05,31.9625,4.8475,160.9,126.3,91.2361,76.0829,11174.129,5.8
2003-01-12,31.538,5.0280000000000005,,,,,,
2003-01-19,33.038,5.37,,,,,,
2003-01-26,34.455,5.9125,,,,,,
2003-02-02,33.192,5.676,162.3,127.2,91.3445,76.2008,,5.9
2003-02-09,33.95399999999999,6.114,,,,,,
2003-02-16,35.792,6.0840000000000005,,,,,,
2003-02-23,36.7775,6.325,,,,,,
2003-03-02,36.98,12.032,165.2,128.1,91.1044,76.0272,,5.9
2003-03-09,36.976,7.802,,,,,,
2003-03-16,36.664,5.942,,,,,,
2003-03-23,30.456,5.18,,,,,,
2003-03-30,30.432,4.994,,,,,,
2003-04-06,29.326,4.914,166.7,129.1,90.5617,75.6028,11312.766,6.0
2003-04-13,28.028,5.152,,,,,,
2003-04-20,29.2825,5.495,,,,,,
2003-04-27,28.432,5.512,,,,,,
2003-05-04,25.69,5.246,165.8,129.2,90.537,75.6099,,6.1
2003-05-11,26.582,5.574,,,,,,
2003-05-18,28.54,6.0520000000000005,,,,,,
2003-05-25,29.294,6.0200000000000005,,,,,,
2003-06-01,29.1025,5.825,165.0,128.8,90.6527,75.7311,,6.3
2003-06-08,30.682,6.258,,,,,,
2003-06-15,31.458,5.938000000000001,,,,,,
2003-06-22,30.598000000000003,5.57,,,,,,
2003-06-29,30.014,5.61,,,,,,
2003-07-06,30.31,5.135,164.5,128.6,91.1185,76.1369,11566.669,6.2
2003-07-13,30.728,5.356,,,,,,
2003-07-20,31.48,5.058,,,,,,
2003-07-27,30.606,4.914,,,,,,
2003-08-03,30.734,4.683999999999999,164.2,128.7,90.9197,75.9832,,6.1
