date,crude_oil_avg,coal_australia,natural_gas_us,fertiliser_urea,phosphate_rock
2000-01-02,,,,,
2000-01-09,,,,,
2000-01-16,,,,,
2000-01-23,,,,,
2000-01-30,,,,,
2000-02-06,,,,,
2000-02-13,,,,,
2000-02-20,,,,,
2000-02-27,,,,,
2000-03-05,,,,,
2000-03-12,,,,,
2000-03-19,,,,,
2000-03-26,,,,,
2000-04-02,,,,,
2000-04-09,,,,,
2000-04-16,,,,,
2000-04-23,,,,,
2000-04-30,,,,,
2000-05-07,,,,,
2000-05-14,,,,,
2000-05-21,,,,,
2000-05-28,,,,,
2000-06-04,,,,,
2000-06-11,,,,,
2000-06-18,,,,,
2000-06-25,,,,,
2000-07-02,,,,,
2000-07-09,,,,,
2000-07-16,,,,,
2000-07-23,,,,,
2000-07-30,,,,,
2000-08-06,,,,,
2000-08-13,,,,,
2000-08-20,,,,,
2000-08-27,,,,,
2000-09-03,,,,,
2000-09-10,,,,,
2000-09-17,,,,,
2000-09-24,,,,,
2000-10-01,31.40016666667,27.15,5.02,111.1,44.0
2000-10-08,31.181621794875,27.394230769230766,5.025769230769231,110.49230769230769,44.0
2000-10-15,30.96307692308,27.638461538461538,5.031538461538461,109.88461538461537,44.0
2000-10-22,30.744532051285,27.882692307692306,5.037307692307692,109.27692307692307,44.0
2000-10-29,30.52598717949,28.126923076923077,5.043076923076923,108.66923076923077,44.0
2000-11-05,30.307442307695,28.371153846153845,5.048846153846154,108.06153846153846,44.0
2000-11-12,30.088897435899998,28.615384615384613,5.054615384615384,107.45384615384614,44.0
2000-11-19,29.870352564105,28.859615384615385,5.060384615384615,106.84615384615384,44.0
2000-11-26,29.65180769231,29.103846153846153,5.066153846153846,106.23846153846154,44.0
2000-12-03,29.433262820515,29.34807692307692,5.071923076923077,105.63076923076923,44.0
2000-12-10,29.21471794872,29.592307692307692,5.077692307692307,105.02307692307691,44.0
2000-12-17,28.996173076925,29.83653846153846,5.083461538461538,104.41538461538461,44.0
2000-12-24,28.77762820513,30.08076923076923,5.089230769230769,103.8076923076923,44.0
2000-12-31,28.559083333335,30.325,5.095,103.2,44.0
2001-01-07,28.34053846154,30.569230769230767,5.100769230769231,102.59230769230768,44.0
2001-01-14,28.121993589745,30.81346153846154,5.106538461538461,101.98461538461538,44.0
2001-01-21,27.90344871795,31.057692307692307,5.112307692307692,101.37692307692308,44.0
2001-01-28,27.684903846155,31.301923076923078,5.118076923076923,100.76923076923076,44.0
2001-02-04,27.46635897436,31.546153846153846,5.123846153846154,100.16153846153846,44.0
2001-02-11,27.247814102565,31.790384615384614,5.129615384615384,99.55384615384615,44.0
2001-02-18,27.02926923077,32.034615384615385,5.135384615384615,98.94615384615385,44.0
2001-02-25,26.810724358975,32.27884615384615,5.141153846153846,98.33846153846153,44.0
2001-03-04,26.59217948718,32.52307692307692,5.146923076923077,97.73076923076923,44.0
2001-03-11,26.373634615385,32.76730769230769,5.152692307692307,97.12307692307692,44.0
2001-03-18,26.15508974359,33.011538461538464,5.158461538461538,96.51538461538462,44.0
2001-03-25,25.936544871795,33.25576923076923,5.164230769230769,95.9076923076923,44.0
2001-04-01,25.718,33.5,5.17,95.3,44.0
2001-04-08,25.647667665667694,33.53846153846154,5.010769230769231,94.7,44.0
2001-04-15,25.577335331335384,33.57692307692308,4.851538461538461,94.1,44.0
2001-04-22,25.507002997003077,33.61538461538461,4.6923076923076925,93.5,44.0
2001-04-29,25.436670662670767,33.65384615384615,4.533076923076923,92.89999999999999,44.0
